,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2015/4/5,34,,,,1,,1,1,,1,,,,,,,113y,,,,,,
2015/4/4,45,,,,1,,1,1,,1,,,1,,,,485,,,,,,
2015/4/3,41,,,1,,,1,1,,1,,,1,,,,dd51,,,,,,
2015/4/1,40,,,1,,,1,1,,,1,,,,,1,ed75,,,,,,
2015/4/1,33,,,,1,,1,1,,1,,,1,,,,iida,,,,,,
2015/3/31,49,,,1,,,1,1,,1,,,,,,,ef63,485,,,,,
2015/3/29,36,,,1,,,1,1,,1,,,,,1,,183,,,,,,
2015/3/28,45,,1,,,,1,1,,1,,,1,,,,iida,,,,,,
2015/3/28,45,,,,1,1,,1,,,1,,,,,,485,,,,,,
2015/3/27,36,,,1,,,1,1,,1,,,,,1,,dc281,,,,,,
2015/3/26,50,,1,,,1,,1,,1,,,,,1,,ed75,24,,,,,
2015/3/25,43,,,,1,,1,1,,1,,,1,,,,485,,,,,,
2015/3/24,45,1,,,1,1,,1,,1,,,1,,,,583,415,,,,,
2015/3/23,38,1,1,,,,1,1,,1,,1,,,,,ef63,485,,,,,
2015/3/22,34,,1,,,1,,1,,1,,,,,,,ef63,,,,,,
2015/3/22,32,,,,1,1,,,1,1,,,1,,,,113y,fre,de10,,,,
2015/3/21,47,,,1,,,1,1,,1,,,,,,1,183,,,,,,
2015/3/19,44,,1,,,,1,1,,1,,,,,1,,ed75,24,,,,,
2015/3/19,29,1,,,1,1,,1,,1,,,,,1,,183,,,,,,
2015/3/18,30,,,,1,,1,1,,1,,1,,,,1,115,,,,,,
2015/3/17,24,1,,,1,,1,1,,,1,,,,,1,ed75,,,,,,
2015/3/16,23,,1,,,,1,1,,1,,,1,,,,nimotu,dc82,,,,,
2015/3/15,32,,,,1,,1,1,,1,,,,,,,d51,old_pc,,,,,
2015/3/14,28,,1,,,,1,1,,1,,,,,,,dc58,,,,,,
2015/3/13,29,,1,,,,1,,1,1,,1,,,,1,115,,,,,,
